transaction_id,customer_id,transaction_amount,transaction_type,country,transaction_date
1001,C101,25000,UPI,India,01-05-2026
1002,C102,150000,Wire Transfer,UAE,02-05-2026
1003,C101,75000,Cash Withdrawal,India,03-05-2026
1004,C103,220000,Wire Transfer,Singapore,03-05-2026
1005,C104,,ATM Withdrawal,India,04-05-2026
1006,C102,300000,Cash Deposit,UAE,05-05-2026
1007,C105,120000,Online Transfer,,05-05-2026
1008,C106,45000,UPI,India,06-05-2026
1009,C103,98000,Cash Withdrawal,Singapore,06-05-2026
1010,C101,175000,Wire Transfer,India,07-05-2026
1010,C101,175000,Wire Transfer,India,07-05-2026
